Sr. No.,District,Agroforestry Potential Area,Agroforestry Potential Area in %
1,BAKSA,1500,3.97
2,BARPETA,1030,2.72
3,BISWANATH,1203,3.18
4,BONGAIGAON,522,1.38
5,CACHAR,1453,3.84
6,CHARAIDEO,665,1.76
7,CHIRANG,918,2.43
8,DARRANG,843,2.23
9,DHEMAJI,1435,3.79
10,DHUBRI,931,2.46
11,DIBRUGARH,1611,4.26
12,DIMA HASAO,849,2.24
13,GOALPARA,1181,3.12
14,GOLAGHAT,1871,4.95
15,HAILAKANDI,661,1.75
16,HOJAI,830,2.2
17,JORHAT,1211,3.2
18,KAMRUP METRO,504,1.33
19,KAMRUP RURAL,1727,4.57
20,KARBI ANGLONG,1864,4.93
21,KARIMGANJ,984,2.6
22,KOKRAJHAR,1661,4.39
23,LAKHIMPUR,1829,4.84
24,MAJULI,417,1.1
25,MARIGAON,978,2.59
26,NAGAON,1626,4.3
27,NALBARI,629,1.66
28,SIBSAGAR,1077,2.85
29,SONITPUR,1529,4.04
30,SOUTH SALMARA,197,0.52
31,TINSUKIA,1488,3.93
32,UDALGURI,1354,3.58
33,WEST KARBI ANGLONG,1244,3.29
